BiogeographicRealm.realm,ConservationActionsDocumentation.narrative,HabitatDocumentation.narrative,MapStatus.status,PopulationDocumentation.narrative,PopulationTrend.value,RangeDocumentation.narrative,RedListAssessmentDate.value,RedListCriteria.critVersion,RedListCriteria.dataDeficientReason,RedListCriteria.isManual,RedListCriteria.manualCategory,RedListCriteria.manualCriteria,RedListCriteria.possiblyExtinct,RedListCriteria.possiblyExtinctCandidate,RedListCriteria.yearLastSeen,RedListRationale.value,RedListReasonsForChange.catCritChanges,RedListReasonsForChange.changeReasons,RedListReasonsForChange.otherReason,RedListReasonsForChange.timeframe,RedListReasonsForChange.type,System.value,ThreatsDocumentation.value,UseTradeDocumentation.value,internal_taxon_id
Afrotropical|Indomalayan|Palearctic,No specific conservation measures are known to be in place at present or are recommended at present.,"Occupies a variety of habitats in bush and woodland, usually with at least a little water current. This is among the most common species at larger perennial rivers.",Incomplete,This is a widespread species and is among the most common species found at larger perennial rivers.,Unknown,"This species is widespread in the southern Africa region. Globally, it is widespread in Africa, southern Europe, the Middle East, southern Asia, and the Indian Ocean Islands.",09/06/2006,3.1,,true,LC,,false,false,,"Within the southern Africa region, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),There are no major threats known to be affecting the species at present.,,60052
Afrotropical|Palearctic,No specific conservation measures are known to be in place or are recommended at present.,"Various habitats except rain forest, usually with at least a little water current, often with higher reeds at the water.",Incomplete,"No information is available on population size or trends. However, this is a widespread species.",Unknown,"This species is widespread and common in the southern Africa region. Globally, it is widespread and common in Africa, southern Europe, and the Middle East.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a very wide distribution. There are no serious threats known to be affecting the species at present and it is assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),There are no major threats known to be affecting the species at present.,,60053
Afrotropical,No information available.,"Rivers and streams in bush, savannah or woodland, and sometimes reservoirs.",Done,No information is available on population size or trends.,Unknown,"In southern Africa, this species occurs mainly in the northern parts of the region. In Namibia it colonises some artificial lakes, otherwise it is not found in the arid southwest or at the Cape. Globally, it has been recorded from Ethiopia to South Africa.",09/06/2006,3.1,,true,LC,,false,false,,"In the southern Africa region, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),No information available.,,60056
Afrotropical,No information available.,"Streams, rivers and pools in bush or savannah.",Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species occurs in the north and northeast of the region, as well as at the Cape. It is not found in the arid southwest (Namibia and Botswana). Globally, it has been recorded from South Africa to Kenya and DRC.",09/06/2006,3.1,,true,LC,,false,false,,"Within southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),No information available.,,60057
Afrotropical,No information available.,"Streams, rivers or reedy pools in savannah, bush or woodland.",Incomplete,No information is available on population size or trends.,Unknown,"This species is widespread in the southern Africa region. Globally, it is widespread in sub-Saharan Africa, except in rain forest areas.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a wide distribution and it is unlikely to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),No information available.,,60058
Afrotropical,No information available.,Streams in forest or bush.,Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species is widespread in the more humid north and northeast, and also at the Cape. It is not found in the arid southwest or in Botswana. Globally, it has been recorded from South Africa to Kenya.",09/06/2006,3.1,,true,LC,,false,false,,"Within southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),No information available.,,60065
Afrotropical,No information available.,"Streams, swamps, and pools in bush or forest.",Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species occurs in most countries, particularly in regions with mountain streams. Its range in the central part of the region is not clear because populations in the Okavango Basin and at the Kwando River have been identified as separate species, which may also occur more to the east (cf. <em>Trithemis </em>sp. n). Globally, it has been recorded from South Africa (Natal) to Ethiopia, and west to the Ivory Coast.",09/06/2006,3.1,,true,LC,,false,false,,"Within the southern Africa region, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),"The species is not threatened in most of its range.  A local relict subpopulation occurs in the central Namibian Naukluft and Tsaris Mountains (Suhling <em>et al</em>. 2006), which is separated from all other subpopulations. This subpopulation may be threatened and it should be monitored.",,60068
Afrotropical,No information available.,Rivers in bush or savannah.,Incomplete,No information is available on population size or trends.,Unknown,"This species occurs in the north of the southern Africa region, along perennial rivers. Globally, it has been recorded from Kenya and south Sudan, south to South Africa (Transvaal) and Namibia.",09/06/2006,3.1,,true,LC,,false,false,,"In southern Africa, this species has a relatively wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),No information available.,,60069
Afrotropical,No information available.,"Pools, lakes or slow streams and rivers in savannah, bush and woodland.",Incomplete,No information is available on population size or trends.,Unknown,"This species is widespread in most of the southern Africa region. There are scattered occurrences in the arid southwest, and it is not found at the Cape. Globally, it is widespread in Africa, except in forest areas.",09/06/2006,3.1,,true,LC,,false,false,,"Within southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),No information available.,,60072
Afrotropical|Palearctic,No information available.,"Pools, lakes, floodplains or slow streams and rivers in savannah, bush and woodland.",Incomplete,"No information is available on population size or trends. However, this is a widespread species.",Unknown,"This species is widespread in the southern Africa region, but is not found at the Cape or in the arid southwest. Globally, it is widespread in Africa (except in forest areas) and the Middle East.",09/06/2006,3.1,,true,LC,,false,false,,"Within the southern Africa region, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),No information available.,,60073
Afrotropical,No specific conservation measures are known to be in place or are recommended at present.,Clear montane streams with long grass and bushes on the banks (Samways 1999).,Missing,Locally abundant.,Stable,"This species is endemic to the southern Africa region, being present in South Africa, Lesotho and Swaziland.",01/04/2007,3.1,,true,LC,,false,false,,"This species is known only from the southern Africa region. It is locally abundant, with no serious threats or major population declines. It is assessed as Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),There are no threats known to be seriously affecting the species at present.,,63171
Afrotropical,"No precise information available but research into population numbers and range, biology and ecology, habitat status, threats, conservation measures, and trends/monitoring of this species would be valuable. Continued searches for the species are essential.","Meandering open rivers and streams, with abundant marginal vegetation.",Missing,"Current population size is unknown (it is known from only a few specimens), but the population may be declining. It appears to have a very localised distribution, with subpopulations probably awaiting discovery (Samways 2006).",Decreasing,"This is a South African endemic species known only from a few specimens from two localities in eastern South Africa. Only one female of the species has been rediscovered since 1968, collected from near its type locality (Badplaas, Mpumalanga) in 2002 (Samways 2006).",01/04/2007,3.1,,true,EN,"B1ab(ii,iii)+2ab(ii,iii)",false,false,,"This species is known only from two localities, and it has been lost from at least one location since 1948. There is only one recent record from the second location (2002). Current threats are not clear. This species is on the verge of extinction unless a new population is discovered, expanding the range. Even at the type locality only one female has been found despite very intensive searches. It is therefore assessed as Endangered.",,,,,No change,Terrestrial|Freshwater (=Inland waters),"It is not clear why this species is so rare. It may be that alien trout species have played a role in this. It has not been rediscovered at the ""Drakensberg"" locality  since its collection there in 1948 and only one specimen (a female) was found at the type locality in 2002. It is possible that livestock farming, damming of streams, invasive alien trees, and trout together may impact on this species, potentially aggravating its susceptibility to drought and flood (Samways 2006).<br/>    <p> &#160;    </p>",,63175
Afrotropical,"No precise information available but research into population numbers and range, and trends/monitoring of the species would be valuable.",Found at perennial rivers.,Missing,Population size and trends are unknown.,Unknown,"This species is endemic to the Orange River Basin in South Africa, and most probably also Namibia (but it has not yet been recorded there).",01/02/2008,3.1,,true,LC,,false,false,,"This species is listed as Least Concern because, although it is a regional endemic, it is fairly widespread and locally common on large rivers where it is not known to be threatened",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),Current threats are unknown.,,63176
Afrotropical,"In South Africa, further searches for populations are required. Elsewhere in the species' range, no conservation measures are known to be in place or are recommended at present. Taxonomic research is certainly needed as well as research into population numbers and range, biology and ecology, habitat status, threats, conservation measures, and trends/monitoring of this species would be valuable. Habitat and site-based actions are also required.",Found in swamps.,Incomplete,Current population size or trends are not known.,Unknown,"This species is endemic to the southern Africa region. Subspecies <em>ruberrima</em> has only been recorded from northern Natal, but it is likely to also occur in Mozambique. Subspecies <em>albifrons</em> occurs in the Okavango Delta and Panhandle in Botswana and Namibia.",01/02/2008,3.1,,true,LC,,false,false,,"This species has a wide distribution in southern Africa and is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. The species is assessed as Least Concern. However, the nominate subspecies is endemic to South African and is assessed as threatened based on its restricted range and recent population declines.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"Current threats are unknown. The subspecies <em>albifrons</em> seems to not be threatened at present, however the status of subspecies <em>ruberrima</em> is uncertain and the taxon may be threatened due to habitat loss as a result of urbanisation and drought.",,63178
Afrotropical,No specific conservation measures are known to be in place or are recommended at present.,At well vegetated and shaded streams with pristine or near pristine banks (Samways 1999).,Incomplete,Locally abundant.,Stable,This species is endemic to South Africa.,01/04/2007,3.1,,true,LC,,false,false,,This endemic South African species is locally abundant and has no major threats at present. There is no evidence of population declines and the species is assessed as Least Concern.,,,,,,Terrestrial|Freshwater (=Inland waters),There are no threats known to be seriously affecting the population at present.,,63179
Afrotropical,No specific conservation measures are known to be in place or are recommended at present.,Found in riverine pools and sluggish reaches of rivers.,Missing,Locally abundant.,Stable,This is a widespread South Africa endemic species.,01/04/2007,3.1,,true,LC,,false,false,,This South African endemic species is listed as Least Concern in view of its relatively wide distribution. It is locally abundant and apparently stable. It is assessed as Least Concern.,,,,,,Terrestrial|Freshwater (=Inland waters),Currently there are no known threats to the species.,,63180
Afrotropical,"No conservation measures known but research into population numbers and range, biology and ecology, and trends/monitoring would be valuable.",Pools and marshes with abundant reeds.,Missing,Current population size and trends are unknown.,Unknown,"This is an South African endemic species, restricted to Kwazulu-Natal, eastern Cape and the Limpopo province.",01/04/2007,3.1,,true,LC,,false,false,,"Although this endemic, South African species is not very widespread, it is not likely to be declining rapidly enough to qualify for listing in a threatened or Near Threatened category. It is therefore assessed as Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),Current threats are unknown.,,63182
Afrotropical,"No information available but research into threats, population numbers and range, and trends/monitoring of the species would be valuable.","Found in well vegetated, small, clear highland streams.",Missing,This is a locally common species.,Stable,This species is endemic to South African montane areas.,01/04/2007,3.1,,true,LC,,false,false,,This South African endemic species has a relatively wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. The species is assessed as Least Concern.,,,,,,Terrestrial|Freshwater (=Inland waters),No information available.,,63184
Afrotropical,No precise information is available but research into trends and monitoring of the species would be valuable.,"Well-vegetated stream, river and pool margins at low altitude.",Missing,Locally abundant.,Stable,This species is endemic to the South African Cape.,01/04/2007,3.1,,true,LC,,false,false,,This South African endemic species is assessed as Least Concern in view of its relatively wide distribution and because it is locally abundant. It is unlikely to qualify for listing in a threatened category. It is currently assessed as Least Concern.,,,,,,Terrestrial|Freshwater (=Inland waters),Current threats are unknown.,,63185
Afrotropical,"The removal of invasive alien trees, especially <em>Acacia</em> species, is proving to be immensely beneficial and this work needs to continue (Samways 2006). Stopping further loss of natural forest is critical and further searches for the species are also required (Samways 2006). The species occurs in several reserves.","Clear, forest streams with sunflecks and deposition zones. Indigenous bushes overhanging the water are essential to oviposition sites (Samways 2006).",Missing,"Although its known area of occupancy is less than 2,000 km², the population appears to have stabilised (Samways 2006).",Stable,"The species is endemic to South Africa. At present, it is known from isolated localities from Franschhoek (Western Cape) to Tsitsikamma Forest (western Cape and eastern Cape). The recent information (February 1999: Franschhoek) is encouraging and the small population there appears to have re-established as a result of removal of alien trees (Samways 2006).",01/02/2008,3.1,,true,LC,,false,false,,"<em>Chlorolestes umbratus</em> is a Cape endemic that has shown past declines, however the population now appears to have stabilised as a result of removal of alien invasive trees. It occurs in several reserves and currently is considered Least Concern. However, this status is very much dependent on continuing efforts to keep existing and potential habitat free from invasive trees, particularly <em>Acacia mearnsii</em>. It is assessed as Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),"Plantation forestry coupled with loss of natural forest appears, at least historically, to have been a major threat. Today, the impact of invasive alien trees shading out perching and oviposition sites appears to be the most major impact (Samways 2006).",,63191
Afrotropical,"Policy-based actions, increasing awareness and research into biology and ecology, conservation measures and trends/monitoring of the species would all be valuable. Habitat protection is also required for this species.",Occurs in small mountain streams with pools. Larvae seem to live mainly in pools and in South Africa the species seems to profit from damming of small streams.,Incomplete,"The species seems to be split into three subpopulations, two in South Africa (several inhabited localities) and one small subpopulation in Namibia. It is most likely extinct at two out of the three known localities, as it has not been seen there for more than 80 years.",Unknown,"This species is endemic to southern Africa. It occurs in South Africa and Namibia (Samyways 1999, Tarboton and Tarboton 2002, Martens <em>et al</em>. 2003).",01/02/2008,3.1,,true,LC,,false,false,,"This species is still widespread and common in South Africa and seems even to benefit from some human impacts (Samways 1999). Therefore from a global perspective it is not threatened. In Namibia, however, where the species is marginal, the remaining population is very small and may be threatened (e.g., from natural disasters). Its only known location in Namibia is within Namib-Naukluft National Park. It has not been recorded from the two other known Namibia locations for more than 80 years.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"Habitat degradation is the major threat to the species. In Namibia, groundwater extraction was most likely the reason why two subpopulations were lost.",,63193
Afrotropical,"No specific conservation measures are currently in place but research into taxonomy, population numbers and range, biology and ecology, and trends/monitoring of the species would be valuable.",Swift montane streams and rivers with dense bank vegetation and bushes (Samways 1999).,Incomplete,No information available.,Unknown,"This species is endemic to southern Africa. It occurs in South Africa, Zimbabwe and Mozambique.",01/04/2007,3.1,,true,LC,,false,false,,"This species is endemic to southern Africa, where it is widespread within its range. No population declines have been observed or are expected. It is therefore assessed as Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),"Currently, no threats to the species are known.",,63194
Afrotropical,"No information available but research into population numbers and range, biology and ecology, habitat status, threats, and trends/monitoring of this species would be valuable.","Grassy verges of seeps, ponds and slow-flowing streams.",Missing,Population size and trends are unknown.,Unknown,This species is endemic to South Africa. It occurs in the Highveld grasslands.,01/04/2007,3.1,,true,LC,,false,false,,"Although this endemic South African species seems to be not very widespread, it is not likely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. It is assessed as Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),No information available.,,63195
Afrotropical,No specific conservation measures are known to be in place or recommended at present.,Occurs at well-wooded or forested streams and rivers.,Incomplete,Population size and trends are unknown.,Stable,"This species is endemic to South African, occurring at well-wooded or forest rivers.",01/02/2008,3.1,,true,LC,,false,false,,This endemic South African species is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. It is therefore assessed as Least Concern.,Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),No serious threats are known to be currently affecting this species.,,63201
Afrotropical,"No specific measures are in place or envisaged. However, conservation of catchments through the removal of alien invasive trees is clearly beneficial for this species and research into population numbers and range, and trends/monitoring would also be valuable.","Montane streams and rivers, with undisturbed fynbos margins. Clear, fast, hard-bottomed rivers in treeless river valleys (Samways 2006).",Missing,"Population size is unknown, but the population appears to be stable at present.",Stable,"This species is endemic to South Africa. Two populations are known; one in the Western Cape, and one in the eastern Cape. It appears to have disappeared from Kwazulu-Natal, Drakensberg.",01/04/2007,3.1,,true,VU,"B2ab(i,ii,iii); D2",false,false,,"This species is rare everywhere in its range, and for a long time it has not been seen at many sites where it historically was present (e.g., Michell's Pass). With the removal of invasive alien trees, it has recovered at some localities (e.g., Franschhoek Pass), however it is still Vulnerable. It is known only from a few sites (around six locations).",,,,,,Terrestrial|Freshwater (=Inland waters),Invasive alien trees are the most important threat. Agricultural activities that cause river siltation and pollution and alien fish may also be a threat.,,63202
Afrotropical,"Although not threatened at present, removal of bank vegetation should be prevented (Samways 1999).","Streams and rivers in open and wooded country (Tarboton and Tarboton 2005), with well-vegetated banks (Samways 1999).",Missing,There is no information on population size or trends.,Stable,This species is endemic to South Africa.,01/04/2007,3.1,,true,LC,,false,false,,This endemic South African species is not under any major threat at present and no major population declines have been observed. It is assessed as Least Concern.,,,,,,Terrestrial|Freshwater (=Inland waters),There are no major threats known to be affecting the species at present.,,63203
Afrotropical,"Research into population numbers and range, biology and ecology, habitat status, threats, and trends/monitoring of this species would be valuable.",In reedy swamps and woodland close to such swamps.,Incomplete,No information is available on population size or trends.,Unknown,"This species is endemic to the southern Africa region. It mainly occurs in swampy areas in Botswana, Namibia, South Africa and Zambia. It may also occur in Mozambique.",01/04/2007,3.1,,true,LC,,false,false,,This species is assessed as Least Concern in view of its wide distribution and because it is unlikely to be declining fast enough to qualify for listing in a threatened category.,,,,,,Terrestrial|Freshwater (=Inland waters),Current threats to the species are unknown.,,63204
Afrotropical,No conservation measures are known to be in place or are recommended at present.,"Found in and around wooded and forested streams (Tarboton and Tarboton 2002). Open, clear upland rivers  (Samways 1999).",Incomplete,Current population size and trends are unknown.,Unknown,"This species is endemic to southern Africa, known only from South Africa and Zimbabwe.",01/02/2008,3.1,,true,LC,,false,false,,"This endemic, southern African species is not threatened at present and no drastic population decline is expected for the near future. It is therefore assessed as Least Concern.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),Threats to the species are unknown. Pollution and disturbance of rivers are potential threats.,,63208
Afrotropical,"Research into population numbers and range, threats, conservation measures, and trends/monitoring of this species would be valuable. Habitat and site-based actions are also required.","At streams among rushes and long grasses. Grassy-fringed, slow rivers with partial canopy (Samways 2006).",Incomplete,"Population size and trends are unknown. However, throughout its wide range it is unlikely to be declining at a rate that would qualify it for a threatened category.",Unknown,"This species is apparently endemic to the southern Africa region. It has been recorded from west Angola (near the Democratic Republic of Congo border), through Zambia and Zimbabwe to Mozambique, and northern South Africa (Waterberg and Soutpansberg ranges).<br/><br/>In southern Africa, it has been recorded from west Angola (near the Democratic Republic of Congo border), through Zambia and Zimbabwe to Mozambique, and northern South Africa (Waterberg and Soutpansberg ranges).<br/><br/>In central Africa, it is likely to occur in southern Democratic Republic of Congo but there is no data available.",18/03/2008,3.1,,true,LC,,false,false,,"This species is endemic to the southern Africa region, where it has a wide distribution. Threats are unknown across most of its range, but if it is in decline, it is unlikely to be declining at a rate fast enough to qualify for listing in a threatened or Near Threatened category at present. It is assessed as Least Concern.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"In South Africa, threats include poor forestry practice of planting into the riparian zone and allowing proliferation of invasive alien bushes and trees (Samways 2006). Elsewhere in the range, current threats are not known.",,63214
Afrotropical,"Occurs within the protected areas of Hottentots-Holland Reserve, Kogelberg Nature Reserve, Cedarberg Nature Reserve and&#160; Table Mountain National Park. Alien invasive trees are being removed from parts of the species' range and this is proving effective. These activities should continue. Research into population numbers and range, biology and ecology, habitat status, threats, and trends/monitoring of this species would be valuable. Habitat and site-based actions are also required.",Sluggish reaches of rivers with well-vegetated banks.,Missing,Current population size and trends are unknown. This is a locally common species.,Unknown,"South African western Cape endemic. A record of <em>E. frenulata</em> from southwest Angola belongs to a different, undescribed species (see <em>Elattoneura</em> sp.). Known only from the Hawequas Mountains in the Western Cape. Around half the range occurs outside protected areas and half within protected areas. The range area is restricted.",01/04/2007,3.1,,true,LC,,false,false,,"Although this species has a limited range, it can be locally common and has a relatively high tolerance of different habitat types.&#160; It&#160; extent of occurrence is less than 5,000 km². Many river systems in the Cape suffer from anthropogenic influences. However, efforts are underway to improve habitat (through alien invasive tree removal) and the species does not qualify for a threatened listing at present. It is currently Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),"Alien predatory fish (e.g., trout, bass), alien invasive trees (e.g., <em>Acacia mearnsii</em>) and human encroachment on habitats outside of reserves through urbanization are known threats to the species.",,63216
Afrotropical,"No conservation measures known but research into population numbers and range, threats, conservation measures, and trends/monitoring would be valuable.","Lentic waters with floating vegetation such as <em>Myriophyllum</em>, including reservoirs with trout.",,Current population size and trends are unknown.,Increasing,"This species is endemic to South Africa, occurring in highveld grassland areas.",01/04/2007,3.1,,true,LC,,false,false,,"It appears that this endemic, South African species benefits from some human activities (i.e., breeding in man-made fish lakes). No threats are known to be affecting the population at present and it is assessed as Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),Current threats are unknown.,,63218
Afrotropical,"Further searches are urgently required, but the chances of relocating it appear to be ever slimmer. The removal of alien invasive trees is very beneficial for this species and should continue. Research into habitat status, population numbers and range, and trends/monitoring of the species would be valuable. Habitat and site-based actions are also required.",Pools in braids of streams with abundance of sedges.,Missing,Few individuals have been recorded (Pinhey 1984b). The only known extant population has fewer than 50 individuals (Samways <em>et al.</em> 2005).,Decreasing,"Previously this species was known only from the type locality (Sevenweeks Port, Western Cape, South Africa), where it was collected between 1932 and 1936; and from one female, which was taken at Franschhoek in 1962 (Pinhey 1984b). Between 1962 and 2003, the species was not rediscovered despite intensive searches throughout the Western Cape between 1993 and 2000. A suggestion that it occurred in the Hermans area was not confirmed, and indeed streams in this area have undergone major disturbance in recent years. In November 2003, the species was rediscovered at a new site (on the Dutoitsriveier near Villiersdorp) where invasive alien trees have been removed.",01/04/2007,3.1,,true,CR,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",false,false,,"The species was not recorded between 1962 and 2003, despite intensive searches, even at its type locality. It has apparently been lost from the only two sites it was previously known from, but in December 2003 it was discovered in a new site. Habitat is under threat from cattle farming, forestry plantations, alien invasive vegetation and possibly canalization of streams. The only known location where the species currently occurs has had alien invasive trees removed, however its area of occupancy is less than 200 m². Should it be lost from this site, which is not a formal reserve, it would not be known from any locality (although not necessarily Extinct). It is clearly extremely sensitive to disturbance. It is listed as Critically Endangered.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"This species appears to face multiple threats, including loss of habitat due to cattle farming and plantation forestry, overgrowth of riverbanks by alien invasive trees (Samways and Taylor 2004), groundwater abstraction and possibly canalization of streams and predation from an alien trout.",,63219
Afrotropical,"Current protection of natural forest is maintaining the species' habitat and cessation of all natural forest removal is critical. Restoration of natural forest edges may enable it to expand its area of occupancy. Research into population numbers and range, and trends/monitoring of this species would also be valuable.","This is an unusual odonata species for South Africa in that it inhabits small, fern-fringed streams in the deep shade of the forest at relatively southerly latitudes (<em>ca</em> 34°S).",Missing,"Population size is unknown, but with the protection of the Tsitsikamma Forest, range and population size appear to have stabilized (Samways 2006 in press).",Stable,"The species is endemic to South Africa. The original geographical range of this species has probably been reduced through removal of the Cape forests. Currently the species is known from streams near Storms River and in the Tsitsikamma Forest (Western Cape and Eastern Cape) (Samways 2006 in press), and Marloth Nature Reserve. It was recently discovered at Swellendam. The current known range is around 400 km².",01/04/2007,3.1,,true,NT,,false,false,,"<em>Ecchlorolestes nylephtha</em> has undergone a contraction of its range, such that it is now restricted to a range of around 400 km². It is now known to occur in Marloth Nature Reserve (where there is limited timber extraction), near Storms River, and in the Tsitsikamma Forest. Within its range it occupies a very specific microhabitat (fern-lined streams). It moves from Least Concern to Near Threatened based on new information about its more specific habitat requirements within the forest and its restricted range that has been reduced.",,New Information,,,Nongenuine Change,Terrestrial|Freshwater (=Inland waters),"Renewed natural forest removal would be a severe future threat, but currently this is considered to have minimal impact.",,6973
Afrotropical,"The population occurs within protected areas (Hottentots-Holland Reserve, Kogelberg Nature Reserve, Cedarberg Nature Reserve, Table Mountain National Park). Population levels should be monitored regularly. There must be no further encroachment of plantation forestry or introduction of trout. Fish-farming enterprises in Jonkershoek and Du Toit' s Kloof are of concern. The removal of alien invasive trees, is of great benefit to this species.","The species is now known from several locations with clear, shallow streams with an abundance of large, lichen-covered boulders (Samways 2006 in press).",Missing,"Population size is unknown, however its population appears to have stabilised in both range and size.",Stable,"The species is endemic to South Africa. It is only known from the mountains in the West Cape, this species could never have been abundant as it is such a habitat specialist. From early records (Pinhey 1984) it was nevertheless at many more localities than it is today, having disappeared in particular from the Rawsonville area. Today it is known only from small, boulder-filled streams in the upper reaches of small rivers in the Cape Fold mountains (Samways 2006 in press).",01/04/2007,3.1,,true,VU,D2,false,false,,"Earlier last century, <em>Ecchlorolestes peringueyi</em> was known from many more localities than are known at present. It is now known from several localities, all within protected areas. Its population appears to have stabilized, however it still has a restricted range and it is kept in the Vulnerable category until it can be certain that the population is showing a real recovery. Ongoing alien riparian tree removal is important to this species.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),There are several threats which are also synergistic. Alien invasive trees (pines and <em>Acacia longifolia</em>) shade the habitat and alien invasive rainbow trout are predators. The former threat of habitat removal (mostly for plantation forestry) has largely subsided.,,6975
